"sport","height_converted","weight","age","female","color","symbol","height"
"rowing",80,220,24.2356164383562,0,"#4DAF4A","17",80
"rowing",76,200,25.9041095890411,0,"#4DAF4A","17",76
"rowing",79,229,34.4958904109589,0,"#4DAF4A","17",79
"rowing",76,170,27.1616438356164,0,"#4DAF4A","17",76
"rowing",71,165,25.213698630137,0,"#4DAF4A","17",71
"rowing",77,217,27.5780821917808,0,"#4DAF4A","17",77
"rowing",76,215,26.0465753424658,0,"#4DAF4A","17",76
"rowing",72,157,25.9506849315068,0,"#4DAF4A","17",72
"rowing",76,210,30.4520547945205,0,"#4DAF4A","17",76
"rowing",68,122,26.386301369863,0,"#4DAF4A","17",68
"rowing",73,160,27.6630136986301,0,"#4DAF4A","17",73
"rowing",77,215,28.8794520547945,0,"#4DAF4A","17",77
"rowing",74,200,27.3671232876712,0,"#4DAF4A","17",74
"rowing",78,215,29.4301369863014,0,"#4DAF4A","17",78
"rowing",69,128,32.7643835616438,1,"#4DAF4A","17",69
"rowing",73,185,26.7260273972603,1,"#4DAF4A","17",73
"rowing",71,175,25.4164383561644,1,"#4DAF4A","17",71
"rowing",73,180,25.6767123287671,1,"#4DAF4A","17",73
"rowing",70,160,32.9808219178082,1,"#4DAF4A","17",70
"rowing",68,130,28.4821917808219,1,"#4DAF4A","17",68
"rowing",72,175,28.4739726027397,1,"#4DAF4A","17",72
"rowing",74,190,28.627397260274,1,"#4DAF4A","17",74
"rowing",75,170,27.2191780821918,1,"#4DAF4A","17",75
"rowing",73,170,28.6931506849315,1,"#4DAF4A","17",73
"rowing",73,160,26.8246575342466,1,"#4DAF4A","17",73
"rowing",72,163,33.5205479452055,1,"#4DAF4A","17",72
"rowing",72,162,31.9698630136986,1,"#4DAF4A","17",72
"rowing",71,185,30.0301369863014,1,"#4DAF4A","17",71
"rowing",74,178,28.172602739726,1,"#4DAF4A","17",74
"rowing",71,170,28.0246575342466,1,"#4DAF4A","17",71
"rowing",72,180,27.358904109589,1,"#4DAF4A","17",72
"rowing",64,110,28.9917808219178,1,"#4DAF4A","17",64
"rowing",72,157,31.0904109589041,1,"#4DAF4A","17",72
"rugby",73,180,30.1232876712329,0,"#984EA3","18",73
"rugby",74,225,26.3890410958904,0,"#984EA3","18",74
"rugby",76,230,24.6931506849315,0,"#984EA3","18",76
"rugby",74,236,28.8,0,"#984EA3","18",74
"rugby",73,215,27.6602739726027,0,"#984EA3","18",73
"rugby",68,175,23.7917808219178,0,"#984EA3","18",68
"rugby",68,165,26.7232876712329,0,"#984EA3","18",68
"rugby",72,196,31.5424657534247,0,"#984EA3","18",72
"rugby",76,220,22.1616438356164,0,"#984EA3","18",76
"rugby",75,205,26.8301369863014,0,"#984EA3","18",75
"rugby",74,205,24.8712328767123,0,"#984EA3","18",74
"rugby",72,210,32.9178082191781,0,"#984EA3","18",72
"rugby",66,165,25.0849315068493,1,"#984EA3","18",66
"rugby",66,145,26.7150684931507,1,"#984EA3","18",66
"rugby",66,150,25.4657534246575,1,"#984EA3","18",66
"rugby",66,161,24.5150684931507,1,"#984EA3","18",66
"rugby",73,180,35.6931506849315,1,"#984EA3","18",73
"rugby",65,160,31.213698630137,1,"#984EA3","18",65
"rugby",64,150,29.7643835616438,1,"#984EA3","18",64
"rugby",66,140,31.1342465753425,1,"#984EA3","18",66
"rugby",70,153,24.7972602739726,1,"#984EA3","18",70
"rugby",66,165,25.3945205479452,1,"#984EA3","18",66
"rugby",70,175,30.1068493150685,1,"#984EA3","18",70
"rugby",66,145,20.0520547945205,1,"#984EA3","18",66
"sailing",73,181,28.7780821917808,0,"#FF7F00","18",73
"sailing",74,180,27.5698630136986,0,"#FF7F00","18",74
"sailing",71,165,40.8164383561644,0,"#FF7F00","18",71
"sailing",73,157,38.5616438356164,0,"#FF7F00","18",73
"sailing",67,145,35.0356164383562,0,"#FF7F00","18",67
"sailing",70,176,26.986301369863,0,"#FF7F00","18",70
"sailing",75,215,25.7397260273973,0,"#FF7F00","18",75
"sailing",73,154,20.4054794520548,0,"#FF7F00","18",73
"sailing",65,125,24.8821917808219,1,"#FF7F00","18",65
"sailing",66,128,26.5150684931507,1,"#FF7F00","18",66
"sailing",66,140,20.6356164383562,1,"#FF7F00","18",66
"sailing",70,135,20.8958904109589,1,"#FF7F00","18",70
"sailing",67,147,27.2986301369863,1,"#FF7F00","18",67
"sailing",68,147,29.2465753424658,1,"#FF7F00","18",68
"shooting",67,135,24.613698630137,0,"#FFFF33","18",67
"shooting",70,185,48.2931506849315,0,"#FFFF33","18",70
"shooting",72,210,41.5342465753425,0,"#FFFF33","18",72
"shooting",68,135,37.4739726027397,0,"#FFFF33","18",68
"shooting",64,153,19.813698630137,1,"#FFFF33","18",64
"shooting",64,126,47.5643835616438,1,"#FFFF33","18",64
"shooting",69,185,35.358904109589,0,"#FFFF33","18",69
"shooting",69,150,22.1232876712329,0,"#FFFF33","18",69
"shooting",71,175,21.1972602739726,0,"#FFFF33","18",71
"shooting",72,180,23.7287671232877,0,"#FFFF33","18",72
"shooting",67,137,25.4958904109589,1,"#FFFF33","18",67
"shooting",61,120,19.4465753424658,1,"#FFFF33","18",61
"shooting",74,180,34.6027397260274,0,"#FFFF33","18",74
"shooting",68,175,27.4,0,"#FFFF33","18",68
"shooting",74,200,30.6493150684932,0,"#FFFF33","18",74
"shooting",71,175,28.4219178082192,0,"#FFFF33","18",71
"shooting",63,140,23.2520547945205,1,"#FFFF33","18",63
"shooting",68,155,29.9452054794521,1,"#FFFF33","18",68
"shooting",64,180,37.0821917808219,1,"#FFFF33","18",64
"soccer",67,127,23.4547945205479,1,"#E41A1C","18",67
"soccer",62,123,24.1068493150685,1,"#E41A1C","18",62
"soccer",67,143,28.7068493150685,1,"#E41A1C","18",67
"soccer",66,130,28.2054794520548,1,"#E41A1C","18",66
"soccer",69,165,22.2109589041096,1,"#E41A1C","18",69
"soccer",67,144,24.3479452054795,1,"#E41A1C","18",67
"soccer",62,122,28.027397260274,1,"#E41A1C","18",62
"soccer",66,138,32.0438356164384,1,"#E41A1C","18",66
"soccer",67,140,34.0794520547945,1,"#E41A1C","18",67
"soccer",68,140,29,1,"#E41A1C","18",68
"soccer",68,137,27.1123287671233,1,"#E41A1C","18",68
"soccer",69,152,28.3123287671233,1,"#E41A1C","18",69
"soccer",65,127,28.0219178082192,1,"#E41A1C","18",65
"soccer",66,135,27.6191780821918,1,"#E41A1C","18",66
"soccer",64,120,18.2821917808219,1,"#E41A1C","18",64
"soccer",66,133,31.1068493150685,1,"#E41A1C","18",66
"soccer",67,140,31.186301369863,1,"#E41A1C","18",67
"soccer",69,148,35.041095890411,1,"#E41A1C","18",69
"swimming",75,170,23.9945205479452,0,"#377EB8","18",75
"swimming",69,150,22.3041095890411,0,"#377EB8","18",69
"swimming",70,NA,24.7260273972603,1,"#377EB8","18",70
"swimming",78,225,27.6794520547945,0,"#377EB8","18",78
"swimming",76,175,21.8739726027397,0,"#377EB8","18",76
"swimming",77,193,22.9945205479452,0,"#377EB8","18",77
"swimming",75,190,19.9835616438356,0,"#377EB8","18",75
"swimming",77,195,27.586301369863,0,"#377EB8","18",77
"swimming",75,177,35.2191780821918,0,"#377EB8","18",75
"swimming",77,215,26.8767123287671,0,"#377EB8","18",77
"swimming",77,185,19.6575342465753,0,"#377EB8","18",77
"swimming",73,170,25.2849315068493,0,"#377EB8","18",73
"swimming",72,175,20.9643835616438,0,"#377EB8","18",72
"swimming",74,195,32.027397260274,0,"#377EB8","18",74
"swimming",71,175,24.5890410958904,0,"#377EB8","18",71
"swimming",75,200,21.1095890410959,0,"#377EB8","18",75
"swimming",76,190,22.8986301369863,0,"#377EB8","18",76
"swimming",76,200,31.1205479452055,0,"#377EB8","18",76
"swimming",74,190,20.7369863013699,0,"#377EB8","18",74
"swimming",71,167,23.0383561643836,0,"#377EB8","18",71
"swimming",76,190,25.0876712328767,0,"#377EB8","18",76
"swimming",81,198,21.3178082191781,0,"#377EB8","18",81
"swimming",70,150,22.3041095890411,0,"#377EB8","18",70
"swimming",68,143,24.9178082191781,1,"#377EB8","18",68
"swimming",68,149,19.4465753424658,1,"#377EB8","18",68
"swimming",66,146,23.9808219178082,1,"#377EB8","18",66
"swimming",69,143,23.3506849315068,1,"#377EB8","18",69
"swimming",65,115,22.0958904109589,1,"#377EB8","18",65
"swimming",74,170,21.2547945205479,1,"#377EB8","18",74
"swimming",66,155,24.413698630137,1,"#377EB8","18",66
"swimming",69,155,19.4958904109589,1,"#377EB8","18",69
"swimming",72,160,19.4,1,"#377EB8","18",72
"swimming",70,160,20.0219178082192,1,"#377EB8","18",70
"swimming",68,144,24.6164383561644,1,"#377EB8","18",68
"swimming",67,135,25.3232876712329,1,"#377EB8","18",67
"swimming",70,165,21.4904109589041,1,"#377EB8","18",70
"swimming",76,187,20.427397260274,1,"#377EB8","18",76
"swimming",73,165,26.1808219178082,1,"#377EB8","18",73
"swimming",69,149,21.3123287671233,1,"#377EB8","18",69
"swimming",74,165,21.8301369863014,1,"#377EB8","18",74
"swimming",73,150,28.7479452054795,1,"#377EB8","18",73
"swimming",74,170,30.4246575342466,1,"#377EB8","18",74
"swimming",70,150,19.6849315068493,1,"#377EB8","18",70
"swimming",71,165,22.0739726027397,1,"#377EB8","18",71
"synchronized swimming",67,114,19.6876712328767,1,"#4DAF4A","19",67
"synchronized swimming",65,123,26.3397260273973,1,"#4DAF4A","19",65
"table tennis",65,114,16.1397260273973,0,"#984EA3","19",65
"table tennis",69,141,24.986301369863,0,"#984EA3","19",69
"table tennis",65,130,20.1506849315068,1,"#984EA3","19",65
"table tennis",65,94,28.5315068493151,1,"#984EA3","19",65
"taekwondo",74,240,28.427397260274,0,"#FF7F00","19",74
"taekwondo",75,185,37.7643835616438,0,"#FF7F00","19",75
"taekwondo",68,140,25.8630136986301,1,"#FF7F00","19",68
"tennis",75,195,38.2958904109589,0,"#FFFF33","19",75
"tennis",74,180,38.2958904109589,0,"#FFFF33","19",74
"tennis",74,190,26.6328767123288,0,"#FFFF33","19",74
"tennis",71,175,23.9835616438356,0,"#FFFF33","19",71
"tennis",70,150,21.4794520547945,1,"#FFFF33","19",70
"tennis",66,145,31.3917808219178,1,"#FFFF33","19",66
"tennis",68,142,23.3945205479452,1,"#FFFF33","19",68
"tennis",73,155,24.6821917808219,1,"#FFFF33","19",73
"tennis",70,160,34.8821917808219,1,"#FFFF33","19",70
"track and field",74,175,22.613698630137,0,"#E41A1C","19",74
"track and field",73,185,21.6630136986301,0,"#E41A1C","19",73
"track and field",70,145,25.372602739726,0,"#E41A1C","19",70
"track and field",74,208,28.1123287671233,0,"#E41A1C","19",74
"track and field",75,275,24.5972602739726,0,"#E41A1C","19",75
"track and field",75,185,26.3424657534247,0,"#E41A1C","19",75
"track and field",72,153,23.6438356164384,0,"#E41A1C","19",72
"track and field",70,140,27.6575342465753,0,"#E41A1C","19",70
"track and field",69,171,22.6547945205479,0,"#E41A1C","19",69
"track and field",68,156,21.0876712328767,0,"#E41A1C","19",68
"track and field",70,150,26.6657534246575,0,"#E41A1C","19",70
"track and field",69,145,26.8164383561644,0,"#E41A1C","19",69
"track and field",69,125,25.7917808219178,0,"#E41A1C","19",69
"track and field",71,160,25.1643835616438,0,"#E41A1C","19",71
"track and field",74,190,30.7835616438356,0,"#E41A1C","19",74
"track and field",71,160,25.6246575342466,0,"#E41A1C","19",71
"track and field",69,159,20.4301369863014,0,"#E41A1C","19",69
"track and field",79,275,23.6465753424658,0,"#E41A1C","19",79
"track and field",78,230,24.613698630137,0,"#E41A1C","19",78
"track and field",69,160,25.2027397260274,0,"#E41A1C","19",69
"track and field",76,175,23.7315068493151,0,"#E41A1C","19",76
"track and field",73,180,28.558904109589,0,"#E41A1C","19",73
"track and field",78,250,25.5452054794521,0,"#E41A1C","19",78
"track and field",80,348,25.8465753424658,0,"#E41A1C","19",80
"track and field",74,200,33.9534246575342,0,"#E41A1C","19",74
"track and field",73,177,34.5068493150685,0,"#E41A1C","19",73
"track and field",71,178,34.013698630137,0,"#E41A1C","19",71
"track and field",72,165,22.4931506849315,0,"#E41A1C","19",72
"track and field",72,189,27.4767123287671,0,"#E41A1C","19",72
"track and field",75,320,22.9835616438356,0,"#E41A1C","19",75
"track and field",74,210,30.013698630137,0,"#E41A1C","19",74
"track and field",74,145,27.4301369863014,0,"#E41A1C","19",74
"track and field",75,164,26.7178082191781,0,"#E41A1C","19",75
"track and field",65,125,41.2821917808219,0,"#E41A1C","19",65
"track and field",73,175,23.9260273972603,0,"#E41A1C","19",73
"track and field",68,118,27.4684931506849,0,"#E41A1C","19",68
"track and field",67,130,29.6739726027397,0,"#E41A1C","19",67
"track and field",72,295,27.1232876712329,0,"#E41A1C","19",72
"track and field",76,198,25.5205479452055,0,"#E41A1C","19",76
