Median of Age			
Country	Median age	Median height, cm	Average weight
Switzerland	26.7	179.3	73.9
Syrian Arab Republic	24.8	178.2	80.9
Taipei (Chinese Taipei)	24.3	170.2	69.9
Tajikistan	26.9	175.1	79.0
Thailand	24.0	167.9	65.8
Togo	23.8	173.6	68.8
Tonga	24.7	183.0	79.0
Trinidad and Tobago	24.1	174.1	77.5
Tunisia	25.3	183.5	81.6
Turkey	25.7	174.8	71.0
Turkmenistan	23.0	174.7	72.6
Tuvalu	20.3	158.0	68.0
Uganda	23.8	170.2	58.8
Ukraine	26.1	177.1	73.6
United Arab Emirates	23.5	174.7	69.9
United Republic of Tanzania	27.2	171.3	56.2
United States of America	27.1	179.0	75.9
Uruguay	23.6	179.6	74.6
Uzbekistan	25.4	175.3	76.1
Vanuatu	24.6	172.0	73.0
Venezuela	26.3	170.7	69.7
Vietnam	23.3	163.3	57.3
Virgin Islands, British	24.0		
Virgin Islands, US	23.7	179.6	73.4
Yemen	20.0	170.3	58.0
Zambia	22.6	176.0	75.2
Zimbabwe	27.0	174.5	69.0
AVERAGE	26.1	176.9	72.8
