"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","kfold1","kfold2","kfold3","kfold4","kfold5","kfold6","kfold7","kfold8","kfold9","kfold10"
39,180,80,0,0,0,0,0,"Shooting","Men's 50m Pistol, Men's 10m Air Pistol","#FF7F00","17",8,3,7,3,8,10,9,7,8,10
26,176,74,0,0,0,0,0,"Wrestling","Men's 74kg Greco-Roman","#FFFF33","18",5,3,1,7,8,5,5,1,4,6
22,190,81,0,0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 200m Butterfly","#FFFF33","17",3,7,9,3,1,6,1,3,3,6
21,193,73,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A","18",10,7,8,10,2,7,4,6,9,8
21,190,81,0,0,0,0,0,"Tennis","Men's Singles","#E41A1C","18",2,5,7,8,6,5,7,6,8,8
27,180,76,0,0,0,0,0,"Sailing","Men's 49er","#984EA3","17",2,3,4,9,4,8,1,1,4,10
35,197,104,0,0,0,0,0,"Handball","Men's Handball","#FFFF33","16",7,8,1,9,4,6,3,3,4,1
16,170,68,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",7,5,8,9,6,3,10,9,3,3
25,175,80,0,0,0,1,1,"Shooting","Men's 25m Rapid Fire Pistol","#FF7F00","17",2,10,6,5,6,3,6,2,8,4
22,204,100,0,0,0,0,0,"Basketball","Men's Basketball","#984EA3","15",1,5,1,5,4,6,2,2,10,9
22,171,63,1,0,1,0,1,"Table Tennis","Women's Singles, Women's Team","#A65628","17",7,3,10,10,6,2,10,1,8,5
31,183,71,1,0,0,0,0,"Handball","Women's Handball","#FFFF33","16",9,4,8,2,10,4,4,1,3,1
41,176,54,1,0,0,0,0,"Equestrian","Individual Jumping, LENNOX","#4DAF4A","16",6,6,6,7,9,3,9,7,3,5
34,185,70,0,0,0,0,0,"Athletics","Men's 50km Race Walk","#377EB8","15",9,7,5,5,6,8,3,2,10,8
28,168,58,1,0,0,0,0,"Fencing","Women's Team Epee","#984EA3","16",4,8,3,10,9,1,4,10,8,8
27,166,66,1,0,0,0,0,"Handball","Women's Handball","#FFFF33","16",9,6,8,10,5,9,1,9,10,3
25,170,55,1,0,0,0,0,"Hockey","Women's Hockey","#A65628","16",4,10,6,10,1,8,1,7,10,1
21,169,47,1,0,0,0,0,"Athletics","Women's 3000m Steeplechase","#377EB8","15",4,7,1,8,1,9,8,3,7,2
19,192,78,0,0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay","#FFFF33","17",3,1,10,6,4,7,9,2,7,8
42,160,48,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",1,6,8,1,2,9,10,6,9,7
36,168,56,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8","18",5,2,7,2,7,4,3,8,3,6
20,180,68,1,0,0,0,0,"Swimming","Women's 200m Individual Medley","#FFFF33","17",8,2,8,5,10,10,2,8,3,1
21,173,62,1,0,0,0,0,"Swimming","Women's 800m Freestyle","#FFFF33","17",5,4,7,6,5,3,2,7,5,9
20,168,51,1,0,0,0,0,"Athletics","Women's 4 x 400m Relay","#377EB8","15",1,5,7,2,6,3,7,5,8,4
28,185,72,1,0,0,0,0,"Volleyball","Women's Volleyball","#4DAF4A","18",9,2,1,10,10,1,2,8,8,3
35,169,81,0,0,0,0,0,"Rowing","Men's Single Sculls","#4DAF4A","17",9,3,9,2,2,10,9,6,3,7
25,188,82,0,0,0,0,0,"Tennis","Men's Singles, Men's Doubles","#E41A1C","18",6,7,4,5,8,5,6,7,1,9
26,188,120,0,0,0,0,0,"Wrestling","Men's 120kg Freestyle","#FFFF33","18",9,8,5,4,5,5,1,1,7,2
24,162,61,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",9,10,3,7,7,4,4,2,2,4
19,152,53,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",2,5,9,9,9,1,7,6,8,4
26,176,92,0,0,0,0,0,"Cycling","Men's Sprint, Men's Team Sprint","#E41A1C","16",4,1,3,3,8,5,1,8,4,6
26,180,67,0,0,0,0,0,"Athletics","Men's 20km Race Walk","#377EB8","15",10,7,9,6,1,7,10,1,4,6
24,171,76,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",1,1,1,5,6,6,7,3,3,6
18,186,72,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8","15",5,1,7,7,7,8,6,9,1,6
28,171,56,1,0,0,0,0,"Athletics","Women's 1500m","#377EB8","15",4,3,9,5,9,2,6,10,7,3
28,180,80,0,0,0,0,0,"Archery","Men's Individual","#E41A1C","15",2,1,8,6,9,7,7,8,8,3
30,180,72,1,0,0,0,0,"Athletics","Women's Heptathlon","#377EB8","15",9,2,8,9,9,1,3,9,7,9
26,199,118,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",3,6,4,10,4,2,6,5,3,5
30,173,68,0,0,0,0,0,"Canoe Slalom","Men's Kayak (K1)","#FFFF33","15",4,8,10,8,6,4,9,8,10,7
35,185,71,0,0,0,0,0,"Triathlon","Men's Triathlon","#377EB8","18",4,6,6,6,9,5,4,6,8,4
24,169,60,1,0,0,0,0,"Table Tennis","Women's Singles","#A65628","17",6,3,3,7,1,4,1,1,2,8
33,183,96,0,0,0,0,0,"Handball","Men's Handball","#FFFF33","16",6,8,10,8,1,9,10,10,3,8
27,183,83,0,0,0,0,0,"Tennis","Men's Singles, Men's Doubles","#E41A1C","18",1,2,1,6,4,6,3,7,4,8
37,158,48,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",9,5,4,4,6,2,9,5,7,8
24,174,67,0,0,0,0,0,"Hockey","Men's Hockey","#A65628","16",4,10,7,4,3,4,4,8,9,7
16,157,47,1,0,0,0,0,"Athletics","Women's 4 x 100m Relay","#377EB8","15",9,6,6,4,6,3,10,4,1,1
18,166,56,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3","17",3,1,2,1,5,9,10,8,3,6
33,165,60,1,0,0,0,0,"Handball","Women's Handball","#FFFF33","16",9,4,10,1,7,8,7,10,9,10
32,181,88,0,0,0,0,0,"Judo","Men's -90kg","#E41A1C","17",8,9,8,8,1,3,4,10,4,1
30,184,105,0,0,0,0,0,"Weightlifting","Men's 105kg","#FF7F00","18",3,2,8,1,6,8,8,6,10,5
24,179,74,0,0,0,0,0,"Fencing","Men's Individual Sabre, Men's Team Sabre","#984EA3","16",3,1,4,8,3,5,6,8,10,2
28,174,63,1,0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Freestyle","#FFFF33","17",8,8,4,2,2,10,2,10,2,5
25,180,79,0,0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m","#A65628","15",9,1,5,2,2,6,4,3,10,5
43,174,91,0,0,0,0,0,"Sailing","Men's Star","#984EA3","17",5,2,8,10,6,10,5,7,4,8
23,185,81,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",7,5,5,8,1,7,10,5,6,2
36,163,52,1,0,0,0,0,"Athletics","Women's 3000m Steeplechase","#377EB8","15",3,1,1,2,10,9,3,1,5,7
18,164,54,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",9,4,8,3,3,8,6,1,5,2
