method,time,accuracy
svm,9.731077571,0.21593291404612158
svm,9.669382328,0.2082459818308875
svm,9.115980492,0.2170976007453995
svm,8.632280147,0.2092941998602376
svm,8.660971225,0.2103424178895877
svm,10.126575717,0.21872816212438853
svm,10.172994039,0.22327044025157233
svm,9.550034199,0.21686466340554392
svm,8.988368646,0.21872816212438853
svm,9.765261136,0.21162357325879338
svm,9.557592727,0.22478453296063358
svm,9.225825477,0.2137200093174936
svm,9.699699812,0.22082459818308875
svm,9.665641257,0.206848357791754
svm,9.769874184,0.21278825995807127
svm,9.548187728,0.20999301187980432
svm,9.671691493,0.21208944793850454
svm,8.833061322,0.21441882133706033
svm,10.09314625,0.2237363149312835
svm,8.780675977,0.2169811320754717
svm,9.637696325,0.21546703936641043
svm,10.085256001,0.215699976706266
svm,9.388908855,0.22012578616352202
svm,10.045378415,0.21628232005590498
svm,10.77510376,0.21406941532727697
svm,9.937423914,0.21325413463778245
svm,10.139548647,0.21872816212438853
svm,9.733987657,0.2236198462613557
svm,9.840690435,0.22245515956207781
svm,9.477270914,0.21441882133706033
svm,10.87074842,0.20789657582110413
svm,9.397937132,0.21721406941532728
svm,9.865671227,0.21197297926857675
svm,9.310517534,0.21558350803633822
svm,10.461730053,0.2212904728627999
svm,9.132716543,0.21430235266713255
svm,10.050471015,0.21546703936641043
svm,9.807280081,0.2104588865595155
svm,9.257304062,0.21535057069648264
svm,9.12555161,0.21348707197763803
svm,8.8286145,0.20952713720009317
svm,8.357050875,0.21535057069648264
svm,8.787094797,0.22501747030048916
svm,9.089510935,0.21872816212438853
svm,9.431158767,0.21674819473561613
svm,9.819712885,0.20964360587002095
svm,9.983800535,0.20125786163522014
svm,8.624093492,0.22082459818308875
svm,9.556923763,0.21278825995807127
svm,9.180087426,0.2146517586769159
svm,8.91330109,0.21441882133706033
svm,10.043504815,0.2148846960167715
svm,9.677769314,0.215699976706266
svm,9.853576596,0.2194269741439553
svm,9.41342013,0.21989284882366644
svm,8.705530112,0.21313766596785463
svm,9.897014739,0.21302119729792685
svm,9.584346268,0.22163987887258327
svm,10.188624568,0.21022594921965992
svm,10.147985892,0.22233869089215
svm,10.545002523,0.2203587235033776
svm,9.230254743,0.21861169345446074
svm,9.784533555,0.22653156300955044
svm,9.968592439,0.21441882133706033
svm,9.190063338,0.21989284882366644
svm,9.393177236,0.2237363149312835
svm,10.467984296,0.22245515956207781
svm,10.464663768,0.22513393897041695
svm,9.560704004,0.2081295131609597
svm,9.089109663,0.21406941532727697
svm,9.078447138,0.21418588399720476
svm,9.19498059,0.22012578616352202
svm,9.755821692,0.20626601444211506
